a / an | =
therewith | ˈðɛ:ɹwɪð, -ɪɵ
therewithal | ˈðɛ:ɹwɪðˈɑ:l, -ɪɵ-
Thersites | ɵǝɹˈsǝɪti:z
Theseus / ~’s | m ˈɵi:sɪǝs, -ɪˌɤs / ˈɵi:sɪǝs
Thessalian | ɵǝˈsɛ:lɪǝn
Thessaly | m ˈɵesǝˌlǝɪ, -ǝl-
Thetis / ~s’ | ˈɵetɪs
thews | ɵju:z
they / their / ~s / them / ~selves
- they | ðɛ:, unstr ðɛ
- their / ~s | ðɛ:ɹ / -z
- them | =, unstr ǝm
- themselves | =
- they are | ðɛ:ɹ, unstr ðɛɹ
- they have | ðɛ:v
- they will | ðɛ:l
- they would | ðɛ:d, ðɛ:ld
thick / ~er / ~est | = / ˈɵɪkǝɹ / =
thick / ~er | = / ˈɵɪkǝɹ
thick-coming | m ˌɵɪk-ˈkɤmɪn, -ɪŋ
thicken / ~s | =
thickest | =
thicket | =
thick-eyed | ˈɵɪk-ˌǝɪd
thick-grown | ˈɵɪk-ˌgro:n
thick-lipped | ˈɵɪk-ˌlɪpt
thick-lips | =
thick-pleached | ˈɵɪk-ˌpli:tʃt
thick-ribbed | m ˌɵɪk-ˈrɪbɪd
thick-skin | =
Thidias | ˈɵɪdɪǝs
thief / thieves | =
thief-stolen | ˈɵi:f-ˌsto:ln
thievery | ˈɵi:vrǝɪ, -vǝr-
thievish | =
thigh / ~s | ɵǝɪ / -z
thimble / ~s | =
thin | =
thin-belly | ˈɵɪnˌbelǝɪ
thin-bestained | m ˌɵɪn-bɪˈstɛ:nɪd
thin-faced | ˈɵɪn-ˌfɛ:st
thing / ~s | =
think / ~est / ~s / ~ing / thought / ~est | = / m ɵɪŋks, -st, ˈɵɪŋkǝst / = / ˈɵɪŋkɪn, -ɪŋ / = / ˈɵɔ:ts
thinking / ~s | ˈɵɪŋkɪn, -ɪŋ / -z
thinly | ˈɵɪnlǝɪ
third | ɵɐ:ɹd
third / ~’s / ~s | ɵɐ:ɹd, Caius MW 3.3.222 tɐ:ɹd / -z
thirdborough | ˈɵɐ:ɹbrǝ
thirdly | ˈɵɐ:ɹdlǝɪ
thirst | ɵɐ:ɹst
thirst / ~s / ~ing | ɵɐ:ɹst / -s / ˈɵɐ:ɹstɪn, -ɪŋ
thirsty | ˈɵɐ:ɹstǝɪ
thirteen | ˈɵɐ:ɹti:n
thirtieth | ˈɵɐ:ɹtiǝt
thirty | ˈɵɐ:ɹtǝɪ
thirt·y / ~ies | ˈɵɐ:ɹtǝɪ / -z
thirty-one | ˌɵɐ:ɹtǝɪ-ˈo:n
thirty-three | ˌɵɐ:ɹtǝɪ-ˈɵri:
this / these
- this | =
- these | = / Caius MW 1.4.43 di:z / Macmorris H5 3.2.110 ðe:z
Thisbe / ~’s | ˈɵɪzbi:, MND 1.2.48 ˈɵɪzni: / -z
thistle / ~s | =
thither | ˈɵɪðǝɹ
thitherward | ˈɵɪðǝɹˌwɑ:ɹd
Thoas | ˈɵo:ǝs
Thomas | =
thorn | ɵɔ:ɹn
thorn | ɵɔ:ɹn / -z
thorny | ˈɵɔ:ɹnǝɪ
thorough | ˈɵɤrǝ, -ro:
thoroughly | m ˈɵɤrǝˌlǝɪ, -ǝl-
thou / thee / thine / thy / ~self
- thou | ðǝʊ
- thou art | ðɑ:ɹt, ðǝʊɹt
- thou hadst | ðads, -t
- thou hast | ðast, ðǝʊst
- thou shalt | ðǝʊz
- thou wilt | ðǝʊl, -t
- thou wouldest | ðǝʊds, -st, ðǝʊlst
- thee | =, unstr ðɪ
- thine | ðǝɪn, unstr ðɪn
- thy | ðǝɪ, unstr ðɪ
- thyself | ðɪˈself, ðǝɪˈself
thou / ~est | ðǝʊst
though | ðo:
thought / ~’s / ~s’ / ~s | =
thought-executing | m ˌɵɔ:t-ˈeksɪˌkju:tɪn, -ɪŋ
thoughtful | =
thought-sick | =
thousand | ˈɵǝʊzǝnd
thousand / ~s | ˈɵǝʊzǝnd / -z
thousandfold | ˈɵǝʊzǝnˌfo:ld, -nd-
Thracian | ˈɵrɛ:sɪǝn
thraldom | ˈɵrɑ:ldǝm
thrall / ~s | ɵrɑ:l / -z
thrall / ~ed | ɵrɑ:ld
thrash | =
thrasonical | ɵrǝˈsɒnɪkɑl
thread | =
thread / ~ing | = / ˈɵredɪn, -ɪŋ
threadbare | ˈɵredbɛ:ɹ
threaden | ˈɵredǝn
threat / ~s | =
threat / ~est / ~s | = / ɵrets, -st / =
threaten / ~est / ~s / ~ing / ~ed | = / ˈɵretnǝst / = / ˈɵretnɪn, -ɪŋ / =
threatened | =
threatener | ˈɵretnǝɹ
threatening | ˈɵretnɪn, -ɪŋ
threateningly | m ˈɵretnɪnˌlǝɪ, -ɪŋ-
threat-enraged | ˈɵret-enˌrɛ:dʒd
three | =
three / ~s | =, Caius MW 2.3.20, 33 tri: / =
threefold | ˈɵri:fo:ld
three-foot | =
three-headed | m ˌɵri:-ˈedɪd, -ˈhe-
three-hooped | ˈɵri:-ˌu:pt, -ˌhu:-
three-inch | =
three-legged | ˈɵri:-ˌlegd
three-man | =
three-nooked | =
Three-pile [name] | ˈɵri:-ˌpǝɪl
three-piled | ˈɵri:-ˌpǝɪld
threescore | m ˈɵri:skɔ:ɹ, ɵri:ˈskɔ:ɹ
three-suited | ˈɵri:-ˌʃu:tɪd, ˌsju:-
Threne | ɵri:n
thresher | ˈɵreʃǝɹ
threshold | ˈɵreʃo:ld
thrice | ɵrǝɪs
thrice-crowned | m ˌɵrǝɪs-ˈkrǝʊnɪd
thrice-driven | ˈɵrǝɪsdrɪvǝn
thrice-fair | ˈɵrǝɪs-ˌfɛ:ɹ
thrice-famed | m ˌɵrǝɪs-ˈfɛ:md, -mɪd
thrice-gentle | m ˌɵrǝɪs-ˈdʒentl
thrice-gorgeous | m ˌɵrǝɪs-ˈgɔ:ɹdʒɪǝs
thrice-gracious | m ˌɵrǝɪs-ˈgrɛ:sɪǝs
thrice-noble / ~r | m ˌɵrǝɪs-ˈno:bl, ˈɵrǝɪs-ˌno:bl / ˌɵrǝɪs-ˈno:blǝɹ
thrice-puissant | m ˌɵrǝɪs-ˈpwɪsɔ:nt
thrice-renowned | m ˈɵrǝɪs-rɪˌnǝʊnɪd
thrice-repured | m ˈɵrǝɪs-rɪˌpju:rɪd
thrice-valiant | m ˌɵrǝɪs-ˈvalɪǝnt
thrice-worthy | m ˌɵrǝɪs-ˈwɔ:ɹðǝɪ
thrift / ~s | =
thriftless | =
thrifty | ˈɵrɪftǝɪ
thrill / ~s / ~ed | =
thrilling | ˈɵrɪlɪn, -ɪŋ
thrive / ~s / ~d | ɵrǝɪv / -z / -d
thriving | ˈɵrǝɪvɪn, -ɪŋ
throat / ~s | ɵro:t, Caius MW 1.4.106 tro:t / -s
throb | =
throbbing | ˈɵrɒbɪn, -ɪŋ
throca | ˈɵrɒka
throe / ~s | ɵro:z
throes | ɵro:z
thromuldo | ɵrɒˈmʊldo:
throne / ~s | ɵro:n / -z
throne / ~d | ɵro:n / m ɵro:nd, ˈɵro:nɪd
throned | m ɵro:nd, ˈɵro:nɪd
throng / ~s | =
throng / ~ing / ~ed | = / ˈɵrɒŋɪn, -ɪŋ / =
thronging | ˈɵrɒŋɪn, -ɪŋ
throstle | =
throttle | =
through | =
throughfare / ~s | ˈɵru:fɛ:ɹ / -z
throughly | ˈɵru:lǝɪ
throughout | ɵru:ˈǝʊt
throw / ~s | ɵro: / -z
throw / ~est / ~s / ~ing / threw / ~-est / thrown | ɵro: / ˈɵro:ǝst / ɵro:z / ˈɵro:ɪn, -ɪŋ / = / ɵru:st / ɵro:n
thrower-out | ˈɵro:ǝɹ-ˈǝʊt
throwing | ˈɵro:ɪn, -ɪŋ
thrum | ɵrɤm
thrummed | ɵrɤmd
thrush | ɵrɤʃ
thrust / ~s | ɵrɤst / -s
thrust / ~s / ~eth / ~ing | ɵrɤst / -s / ˈɵrɤst·ǝɵ / -ɪn, -ɪŋ
thrusting-on | ˈɵrɤstɪn-ˈɒn, -ɪŋ-
thumb / ~s | ɵɤm / -z
thumb-ring | ˈɵɤm-ˌrɪŋ
thump / ~ed | ɵɤmp / -t
Thump [name] | ɵɤmp
thunder / ~’s / s | ˈɵɤndǝɹ / -z
thunder / ~est / ~s | ˈɵɤnd·ǝɹ / -rǝst / -ǝɹz
thunder-bearer | ˈɵɤndǝɹ-ˌbɛ:rǝɹ
thunderbolt / ~s | ˈɵɤndǝɹˌbo:lt / -s
thunderclap / ~s | ˈɵɤndǝɹˌklaps
thunder-darter | ˈɵɤndǝɹ-ˌdɑ:ɹtǝɹ
thunderer | ˈɵɤndrǝɹ, -dǝr-
thundering | ˈɵɤndrɪn, -ɪŋ
thunder-like | ˈɵɤndǝɹ-ˌlǝɪk
thunder-master | ˈɵɤndǝɹ-ˌmastǝɹ
thunder-stone | ˈɵɤndǝɹ-ˌsto:n
thunderstroke | ˈɵɤndǝɹˌstro:k
Thurio / ~’s | ˈɵʊrɪo: / -z
Thursday | ˈɵɐ:ɹzdɛ:
thus | ðɤs
thwack | =
thwart | ɵwɑ:ɹt
thwart / ~ed | ɵwɑ:ɹt / ˈɵwɑ:ɹtɪd
thwarting | ˈɵwɑ:ɹtɪn, -ɪŋ
Tib / ~’s | =
Tiber | ˈtǝɪbǝɹ
Tiberio | m tǝɪˈbi:rɪˌo:
tick | =
tickle | =
tickl·e / ~es / ~ing / ~ed | = / = / ˈtɪklɪn, -ɪŋ / =
tickle-brain | ˈtɪkǝl-ˌbrɛ:n
tickling | ˈtɪklɪn, -ɪŋ
tick-tack | =
tiddle-taddle | =
tide / ~s | tǝɪd / -z
tidings | ˈtǝɪdɪnz, -ɪŋz
tidy | ˈtǝɪdǝɪ
tie | tǝɪ
tie / ~s / tying / tied | tǝɪ / -z / ˈtǝɪɪn, -ɪŋ / tǝɪd
tied-up | ˈtǝɪd-ˌɤp
tiger / ~’s / ~s | ˈtǝɪgǝɹ / -z
Tiger [name] | ˈtǝɪgǝɹ
tiger-footed | ˈtǝɪgǝɹ-ˌfʊtɪd
tight | tǝɪt
tightly | ˈtǝɪtlǝɪ
tile | tǝɪl
till | =
till / ~ed | =
tilly-vally | ˈtɪlɪ-ˈvalǝɪ
tilt / ~s | =
tilt / ~ing / ~s | = / ˈtɪltɪn, -ɪŋ / =
tilter | ˈtɪltǝɹ
tilth | =, tɪlt
tiltyard | ˈtɪlt-ˌjɑ:ɹd
Timandra | tɪˈmandrǝ
timber | ˈtɪmbǝɹ
timbered | ˈtɪmbǝɹd
Timbria | ˈtɪmbrɪǝ
time / ~’s / ~s | tǝɪm / -z
time / ~d | tǝɪmd
time-bewasted | ˈtǝɪm-bɪˌwastɪd
time-honoured | m ˌtǝɪm-ˈɒnǝɹd
timeless | ˈtǝɪmlǝs
timely | ˈtǝɪmlǝɪ
time·ly / ~lier | ˈtǝɪmlǝɪ / -ǝɹ
timely-parted | ˈtǝɪmlǝɪ-ˌpɑ:ɹtɪd
time-pleaser / ~s | ˈtǝɪm-ˌpli:zǝɹ / -z
Timon / ~’s | ˈtǝɪmǝn / -z
timor | ˈtɪmɔ:ɹ
timorous | ˈtɪmrǝs, -mǝr-
timorously | ˈtɪmrǝsˌlǝɪ, -mǝr-
tinct | =
tincture / ~s | ˈtɪŋktǝɹ / -z
tinder | ˈtɪndǝɹ
tinderbox | ˈtɪndǝɹˌbɒks
tinder-like | ˈtɪndǝɹ-ˌlǝɪk
tingling | ˈtɪŋglɪn, -ɪŋ
tinker / ~’s / ~s | ˈtɪŋkǝɹ / -z
tinsel | =
tiny | ˈtǝɪnǝɪ
tip | =
tip / ~s / ~ped | =
tippl·e / ~ing | ˈtɪplɪn, -ɪŋ
tipsy | ˈtɪpsǝɪ
tip·staff / -staves | ˈtɪpstɛ:vz
tiptoe | ˈtɪpto:
tire / ~s | tǝɪɹ / -z
tir·e / ~est / ~es / ~ing / ~ed | tǝɪɹ / ˈtǝɪrǝst / tǝɪɹz / ˈtǝɪrɪn, -ɪŋ / tǝɪɹd
tired | tǝɪɹd
tire-valiant | ˈtǝɪɹ-ˈvalɪǝnt
tiring | ˈtǝɪrɪn, -ɪŋ
tiring-house | ˈtǝɪrɪn-ˌǝʊs, -ɪŋ-, ˌhǝʊs
tirra-lirra | =
tirrits | =
tisick | ˈtɪsɪk
Tisick [name] | ˈtɪsɪk
tissue | ˈtɪsju:, -ɪʃu:
Titan / ~’s | ˈtǝɪtǝn / -z
Titania | tɪˈtanɪǝ
tithe | tǝɪð
tithed | m ˈtǝɪðɪd
tithe-pig / ~’s | ˈtǝɪð-ˌpɪgz
tithe-woman | ˈtǝɪð-ˌwʊmǝn
tithing | ˈtǝɪðɪn, -ɪŋ
Titinius | tɪˈtɪnɪǝs
title / ~’s / ~s | ˈtǝɪtl / -z
titled | ˈtǝɪtld
title-leaf | ˈtǝɪtl-ˌli:f
titleless | m ˈtǝɪtlˌles
tittle / ~s | =
tittle-tattl·e / ~ing | ˈtɪtl-ˌtatlɪn, -ɪŋ
Titus / s’ | ˈtǝɪtǝs
to
- to | str tu:, unstr tǝ, tʊ, abbr t
- to have | tǝv, tav
- to his | tʊz
- to it | tʊt
- to the | tǝɵ, tʊɵ, -ð
- to us | tʊz
toad / ~s | to:d / -z
toad-spotted | m ˌto:d-ˈspɒtɪd
toadstool | ˈto:dstʊl, -stu:l
to and fro | ˈtu:ǝnˈfro:
toast / ~s | to:st / -s
toast | to:st
toasted | ˈto:stɪd
toasting-iron | ˈto:stɪn-ˌǝɪrǝn, -ɪŋ-
toaze | to:z
Toby / ~’s | ˈto:bǝɪ / -z
tod / ~s | =
today | tǝˈdɛ:, tʊ-
toe / ~s | to: / -z
tofore | tǝˈfɔ:ɹ, tʊ-
toged | ˈto:gǝd
together | tǝˈgeðǝɹ, tʊ-, -ˈgeǝɹ
toil / ~s | tǝɪl / -z
toil / ~s / ~ing / ~ed | tǝɪl / -z / ˈtǝɪlɪn, -ɪŋ / tǝɪld
token / ~s | ˈto:kǝn /-z
token | ˈto:kǝn
tokened | ˈto:kǝnd
Toledo | tǝˈli:do:
tolerable | ˈtɒlrǝbǝl, -lǝr-
toll | to:l
Tom | =
tomb / ~s | tu:m, tʊm / -z
tomber / tombé | tɔ̃ˈbe
tombless | ˈtu:mlǝs, ˈtʊ-
tomboy | ˈtɒmbǝɪz
tomorrow / ~’s | tǝˈmɒrǝ, -ro:, tʊ-
Tomyris | m ˈto:mǝˌrɪs
ton | tɤn
tongs | tɒŋz
tongue / ~’s / ~s | tɒŋ, tʊŋ / -z
tongue | tɒŋ, tʊŋ
tongueless | ˈtɒŋlǝs, tʊ-
tongue-tied | ˈtɒŋ-ˌtǝɪd, tʊ-
tonight | tǝˈnǝɪt, tʊ-
too | =
tool / ~s | = / z
tooth / teeth | tʊɵ, tu:ɵ / =
toothache | ˈtʊɵɛ:tʃ, ˈtu:-
tooth-drawer | ˈtʊɵ-ˌdrɔ:ǝɹ, ˈtu:-
toothed | tʊɵt, tu:ɵt
tooth-pick | ˈtʊɵ-ˌpɪk, ˈtu:-
tooth-picker | ˈtʊɵ-ˌpɪkǝɹ, ˈtu:-
top / ~s | =
top / ~ping / ~ped | = / ˈtɒpɪn, -ɪŋ / =
Topas | ˈto:pǝs
top-full | =
topgallant | tɒpˈgalǝnt
topless | =
topmast | ˈtɒpmast
topple / ~s | =
top-proud | ˈtɒp-ˌprǝʊd
topsail | ˈtɒpsɛ:l
topsie-turvy | ˈtɒpsǝɪ-ˈtɐ:ɹvǝɪ
torch / ~es | tɔ:ɹtʃ / ˈtɔ:ɹtʃɪz
torch-bearer / ~s | ˈtɔ:ɹtʃ-ˌbɛ:rǝɹ / -z
torcher | ˈtɔ:ɹtʃǝɹ
torchlight | ˈtɔ:ɹtʃlǝɪt
torch-staff / ~staves | ˈtɔ:ɹtʃ-ˌstɛ:vz
torment / ~s | ˈtɔ:ɹment / -s
torment / ~est / ~s / ~eth / ~ed | tɔ:ɹˈment / -s, -st / -s / -ǝɵ / -ɪd
tormente [Pistol H4 2.4.176] | tɔ:ɹˈmɛntɛ
tormenting | tɔ:ɹˈmentɪn, -ɪŋ
tormento | tɔ:ɹˈmɛnto:
tormentor / ~s | tɔ:ɹˈmentǝɹz
torrent | =
tortive | ˈtɔ:ɹtɪv
tortoise | ˈtɔ:ɹtǝɪz
torture / ~s | ˈtɔ:ɹtǝɹ / -z
torture / ~st / ~d | ˈtɔ:ɹtǝɹ / -st, -trǝst / -d
tortured | ˈtɔ:ɹtǝɹd
torturer / ~s | ˈtɔ:ɹtǝɹǝɹ, -trǝɹ / -z
torturing | ˈtɔ:ɹtrɪn, -ɪŋ
Toryne | ˈtɒrɪn
toss / ~eth / ~ing / ~ed | = / = / ˈtɒsɪn, -ɪŋ / =
tossing | ˈtɒsɪn, -ɪŋ
toss-pot / ~s | =
total | ˈto:tɑl
totally | ˈto:tɑlǝɪ
totter / ~s / ~ing | ˈtɒtǝɹz / ˈtɒtrɪn, -ɪŋ
tottering | ˈtɒtrɪn, -ɪŋ
touch / ~es | tɤtʃ / ˈtɤtʃɪz
touch / ~es / ~eth / ~ing / ~ed | tɤtʃ / ˈtɤtʃ·ɪz / -ǝɵ / -ɪn, -ɪŋ / m -ɪd, tɤtʃt
touching | ˈtɤtʃɪn, -ɪŋ
Touchstone | ˈtɤtʃsto:n
tough | tɤf / ˈtɤfǝɹ
toughness | ˈtɤfnǝs
Touraine | tʊˈren
tournament / ~s | m ˈtu:ɹnǝˌments
Tours | tu:ɹ
touse | tǝʊz
tout / tous | tu, before a vowel tut
tow | to:
toward | to:ɹd, to:ǝɹd
toward / ~s | to:ɹd, to:ǝɹd / -z
towardly | ˈto:ɹdlǝɪ, to:ǝɹ-
towards | to:ɹdz, to:ǝɹ-
tower / ~s | to:ɹ / -z
tower / ~s / ~ing | to:ɹ / -z / ˈto:rɪn, -ɪŋ
Tower [name] | to:ɹ
towered | to:ɹd
towering | ˈto:rɪn, -ɪŋ
town / ~’s / ~s | tǝʊn / -z
town crier | ˈtǝʊn ˈkrǝɪǝɹ
township | ˈtǝʊnʃɪp
towns·man / ~men | ˈtǝʊnzmǝn
toy / ~s | tǝɪ / -z
trace / ~s | trɛ:s / ˈtrɛ:sɪz
trace | trɛ:s
track | =
tract | =
tractable | =
trade / ~s | trɛ:d / -z
trade / ~s / ~d | trɛ:d / -z / ˈtrɛ:dɪd
traded | ˈtrɛ:dɪd
trade-fallen | ˈtrɛ:d-ˌfɑ:ln
trader / ~s | ˈtrɛ:dǝɹz
trades·man / ~man’s / ~men | ˈtrɛ:dz·mǝnz / -mǝn
trading | ˈtrɛ:dɪn, -ɪŋ
tradition | trǝˈdɪsɪǝn
traditional | m trǝˈdɪsɪǝˌnɑl
traduce / ~d | trǝˈdju:s
traducement | trǝˈdju:smǝnt
traffic / ~’s | =
traffic / ~s | =
trafficker / ~s | ˈtrafɪkǝɹz
tragedian / ~s | trǝˈdʒi:dɪǝn / -z
tragedy | ˈtradʒɪdǝɪ / -z
tragic | =
tragical | m ˈtradʒɪkɑl, -ˌkɑl
trail | trɛ:l
trail / ~est | trɛ:l / -s, -st
train / ~s | trɛ:n / -z
train / ~ed | trɛ:n / -d, ˈtrɛ:nɪd
training | ˈtrɛ:nɪn, -ɪŋ
traitor / ~’s / ~s’ / ~s | ˈtrɛ:tǝɹ / -z
traitoress | ˈtrɛ:trǝs, -tǝr-
traitorly | ˈtrɛ:tǝɹlǝɪ
traitorous | ˈtrɛ:trǝs, -tǝr-
traitorously | m ˈtrɛ:trǝsˌlǝɪ, -sl-, -tǝr-
traject | ˈtradʒekt
trammel | =
trampl·e / ~ing / ~ed | = / ˈtrampl·ɪn, -ɪŋ / =
trance / ~s | trɔ:ns / Luc ˈtrɔ:nsɪz
Tranio | m ˈtranɪo:, -ɪˌo:
tranquil | =
tranquility | traŋˈkwɪlɪtǝɪ
transcend / ~s | =
transcendence | =
transfer / ~red S | transˈfɐ:ɹd
transfigure / ~d | transˈfɪgǝɹd
transform / ~ed | transˈfɔ:ɹm / m -d, -ɪd
transformation / ~s | m ˌtransfǝɹˈmɛ:sɪǝn, -sɪˌɒn / -sɪˌɒnz
transformed | m transˈfɔ:ɹmd, -ɪd
transgress / ~es / ~ed | transˈgres, -nz-
transgressing | transˈgres-ɪn, -ɪŋ, -nz-
transgression | transˈgrɛ:sɪǝn, -nz-
translate / ~s / ~d | transˈlɛ:t / -s / -ɪd, -nz-
translation | transˈlɛ:sɪǝn, -nz-
transmigrate / ~s | ˌtransmǝɪˈgrɛ:ts, -nz-
transmutation | ˌtransmjʊˈtɛ:sɪǝn, -nz-
transparent | transˈparǝnt
transport / ~ing / ~ed | tranˈspɔ:ɹt / -ɪn, -ɪŋ / -ɪd
transportance | tranˈspɔ:ɹtǝns
transpose | transˈpo:z
trans-shape | tranˈʃɛ:p, -ns-
trap | =
trap / ~s / ~ped | =
trapping | ˈtrapɪnz, -ɪŋz
trash | =
travail | ˈtravǝl
travail / ~s | ˈtravǝl / -z
travel / ~s | =
travel / ~est / ~s / ~ling / ~led | = / ˈtravǝlst / = / m ˈtravlɪn, -ɪŋ, -vǝl- / =
traveller / ~s | m ˈtravlǝɹ, -vǝl- / -z
travelling | ˈtravlɪn, -ɪŋ, -vǝl-
travel-tainted | ˈtravǝl-ˌtɛ:ntɪd
Travers | ˈtravǝɹz
traverse | ˈtravǝɹs
traversed | ˈtravǝɹst
tray-trip | ˈtrɛ:-ˌtrɪp
treacher / ~s | ˈtretʃǝɹz
treacherous | m ˈtretʃǝˌrɤs, -ǝrǝs, -tʃrǝs
treacherously adv | m ˈtretʃǝˌrɤslǝɪ
treachery | m ˈtretʃǝˌrǝɪ, ǝrǝɪ, -tʃrǝɪ
tread | =
tread / ~s / ~ing / trod / ~den | = / = / ˈtredɪn, -ɪŋ / =
treading | ˈtredɪn, -ɪŋ
treason / ~’s / ~s | ˈtrɛ:zǝn / -z
treasonable | ˈtrɛ:znǝbǝl, -zǝn-
treasonous | ˈtrɛ:znǝs, -zǝn-
treasure / ~s | ˈtrezǝɹ / -z
treasurer | ˈtrezrǝɹ, -zǝr-
treasur·y / ~ies | m ˈtrezǝˌrǝɪ, -zǝr-, -zr- / ˈtrezǝˌrǝɪz
treat / ~s | =
treatise | ˈtri:tɪs
treat·y / ~ies | ˈtri:tǝɪ / -z
treble | =
treble / ~s / ~d | =
treble-sinewed | =
Trebonius | treˈbo:nɪǝs
tree / ~’s / ~s | =
trembl·e / ~est / ~es / ~ing / ~ed | = / ˈtremblǝs, -st, -bǝls, -st / = / ˈtremblɪn, -ɪŋ / =
trembling | ˈtremblɪn, -ɪŋ, Evans MW 3.1.12 ˈtremplɪn, -ɪŋ
tremblingly | m ˈtremblɪnˌlǝɪ, -ɪŋ-
tremor cordis | ˈtremɔ:ɹˈkɔ:ɹdɪs
trench / ~es | =
trench / ~ed | =
trenchant | ˈtrentʃǝnt
trenched | ˈtrentʃɪd
trencher / ~s | ˈtrentʃǝɹ / -z
trencher-friend / ~s | ˈtrentʃǝɹ-ˌfrendz
trenchering | ˈtrentʃrɪn, -ɪŋ, -tʃǝr-
trencher-knight | ˈtrentʃǝɹ-ˌnǝɪt
trencherman | ˈtrentʃǝɹmǝn
trenching | ˈtrentʃɪn, -ɪŋ
Trent | =
très | trɛ
trespass / ~es | =
trespass | =
tress / ~es | =
Tressel | =
trey / ~s | trɛ:z
Trey [name] | trɛ:
trial | ˈtrǝɪɑl
trial / ~s | ˈtrǝɪɑl / -z
trial-fire | ˈtrǝɪɑl-ˈfǝɪɹ
tribe / ~s | trǝɪb / -z
tribulation | ˌtrɪbjǝˈlɛ:sɪǝn
tribunal | trɪˈbju:nɑl
tribune / ~s | =
tributary | m ˈtrɪbjǝˌtarǝɪ
tributary | m ˈtrɪbjǝˌtrǝɪ / m ˈtrɪbjǝˌtrǝɪz, -ˌtar-
tribute | =
trice | trǝɪs
trick / ~s | =
trick / ~ed | =
tricking | ˈtrɪkɪn, -ɪŋ
trickling | ˈtrɪklɪn, -ɪŋ
tricksy | ˈtrɪksǝɪ
trident | ˈtrǝɪdǝnt
tried | trǝɪd
trier | ˈtrǝɪǝɹ
trifle / ~s | ˈtrǝɪfǝl / -z
trifle / ~d | ˈtrǝɪfǝl / -d
trifler | ˈtrǝɪflǝɹ
trifling | ˈtrǝɪflɪn, -ɪŋ
trigon | ˈtrǝɪgɒn
trim | =
trim / ~s | =
trim / ~ming / ~med | = / ˈtrɪmɪn, -ɪŋ / =
trimly | ˈtrɪmlǝɪ
trimming | ˈtrɪmɪn, -ɪŋ
Trinculo / ~’s / ~s | ˈtrɪŋkjʊlo: / -z
trinket / ~s | =
trip | =
trip / VA ~s / ~ping / ~ped | = Evans MW 5.4.1, 4 trɪb / = / ˈtrɪpɪn, -ɪŋ / =
tripartite | m ˈtrɪpǝɹˌtǝɪt
tripe | trǝɪp
tripe-visaged | ˈtrǝɪp-ˌvɪzɪdʒd
triple | =
triple-turned | ˈtrɪpǝl-ˌtɐ:ɹnd
triplex | =
Tripoli / ~s | ˈtrɪpǝ·li: / -lɪs
tripping | ˈtrɪpɪn, -ɪŋ
trippingly | ˈtrɪpɪnlǝɪ, -ɪŋ-
tristful | =
Triton | ˈtrǝɪtǝn
triumph / ~s | ˈtrǝɪǝmf / -s
triumph / ~s / ~ing / ~ed | ˈtrǝɪǝmf / -s / trǝɪˈɤmf·ɪn, -ɪŋ / m -ɪd, ˈtrǝɪǝmft
triumphant | trǝɪˈɤmfǝnt
triumphantly | m trǝɪˈɤmfǝntˌlǝɪ
triumpher / ~s | trǝɪˈɤmfǝɹ / -z
triumvirate | trǝɪˈɤmfrǝt, -fǝr-
triumviry | trǝɪˈɤmfrǝɪ, -fǝr-
trivial | ˈtrɪvɪɑl
Troien | ˈtrǝɪǝn
Troilus / ~s’ / ~es | ˈtrǝɪlǝs / ˈtrǝɪlǝs / -ɪz
Trojan | ˈtro:dʒǝn
Trojan / ~’s / ~s | ˈtro:dʒǝn / -z
troll | tro:l
troll-my-dame / ~s | ˈtro:l-mɪ-ˌdɛmz
tromperies | trɔ̃pǝˈri
troop / ~s | =
troop | = / ˈtru:pɪn, -ɪŋ
trop | tro
troph·y / ~ies | ˈtro:fǝɪ / -z
tropically | ˈtrɒpɪklǝɪ, -kɑl-
trot | =
trot / ~s | =
troth / ~s | tro:ɵ, Caius MW 1.4.60, 4.5.81 tro:t / -s
troth-plight | ˈtro:ɵ-ˌplǝɪt
trotting | ˈtrɒtɪn, -ɪŋ
trouble / ~s | ˈtrɤbǝl / -z
trouble / ~st / ~s / ~d | ˈtrɤb·ǝl / -lǝs, -t, -ǝls, -t / -ǝlz / -ǝld
troubled | ˈtrɤbǝld
troubler | ˈtrɤblǝɹ
troublesome | m ˈtrɤbǝlsǝm, -ˌsɤm
troublous | ˈtrɤblǝs
trough | =
trout / ~s | trǝʊt / -s
trovato | trɒˈvɑ:to:
trow / ~est | tro: / m -s, -st, ˈtro:ǝst
trowel | ˈtro:ǝl
Troy | trǝɪ
Troy / ~’s | trǝɪ / -z
truant | =
truce | =
truckle-bed | ˈtrɤkǝl-ˌbed
trudge | trɤdʒ
true / ~r / ~st | = / ˈtru:ǝɹ / =
true / ~r / ~st | = / ˈtru:ǝɹ / =
true / ~r / ~st | = / ˈtru:·ǝɹ / =
true-begotten | =
true-betrothed | m ˈtru:-bɪˌtro:ðɪd
true-born | ˈtru:-ˌbɔ:ɹn
true-bred | =
true-derived | m ˈtru:-dɪˌrǝɪvɪd
true-devoted | ˈtru:-dɪˌvo:tɪd
true-disposing | ˈtru:-dɪˌspo:zɪn, -ɪŋ
true-divining | ˈtru:-dɪˌvǝɪnɪn, -ɪŋ
